1. Administrator Account

Email (User ID): admin@demo.com
Password: adminpassword123

2. Employee Accounts

Password (for all employee accounts): employeepassword123

Name	Email (User ID)	Department
Alice Smith	  alice.smith@demo.com	       Engineering
Bob Jones	  bob.jones@demo.com	       Engineering
Charlie Brown	  charlie.brown@demo.com       Engineering
Diana Prince	  diana.prince@demo.com	       Marketing
Evan Wright	  evan.wright@demo.com	       Marketing
Fiona Gallagher	  fiona.gallagher@demo.com     Marketing
George Costanza	  george.costanza@demo.com     Sales
Hannah Abbott	  hannah.abbott@demo.com       Sales
Ian Malcolm	  ian.malcolm@demo.com	       Sales
Julia Roberts	  julia.roberts@demo.com       Sales
